COOPID, YEAR, MONTH, DAY, precipitation
80211,2023,1,1,0.00000
80211,2023,1,2,0.00000
80211,2023,1,3,0.00000
80211,2023,1,4,0.50000
80211,2023,1,5,0.00000
80211,2023,1,6,0.00000
80211,2023,1,7,0.00000
80211,2023,1,8,0.00000
80211,2023,1,9,0.00000
80211,2023,1,10,0.00000
80211,2023,1,11,0.00000
80211,2023,1,12,1.14000
80211,2023,1,13,0.00000
80211,2023,1,14,0.00000
80211,2023,1,15,0.00000
80211,2023,1,16,0.00000
80211,2023,1,17,0.00000
80211,2023,1,18,0.00000
80211,2023,1,19,0.37000
80211,2023,1,20,0.00000
80211,2023,1,21,0.51000
80211,2023,1,22,0.30000
80211,2023,1,23,0.00000
80211,2023,1,24,0.00000
80211,2023,1,25,1.87000
80211,2023,1,26,0.00000
80211,2023,1,27,0.00000
80211,2023,1,28,0.00000
80211,2023,1,29,0.06000
80211,2023,1,30,0.05000
80211,2023,1,31,0.00000
80211,2023,2,1,0.00001
80211,2023,2,2,0.00000
80211,2023,2,3,0.23000
80211,2023,2,4,0.00000
80211,2023,2,5,0.00000
80211,2023,2,6,0.00000
80211,2023,2,7,0.00000
80211,2023,2,8,0.00000
80211,2023,2,9,0.12000
80211,2023,2,10,1.10000
80211,2023,2,11,2.06000
80211,2023,2,12,0.00001
80211,2023,2,13,0.00000
80211,2023,2,14,0.00000
80211,2023,2,15,0.00000
80211,2023,2,16,0.00000
80211,2023,2,17,0.13000
80211,2023,2,18,0.00000
80211,2023,2,19,0.00000
80211,2023,2,20,0.00000
80211,2023,2,21,0.00000
80211,2023,2,22,0.00000
80211,2023,2,23,0.00000
80211,2023,2,24,0.00000
80211,2023,2,25,0.00000
80211,2023,2,26,0.00000
80211,2023,2,27,0.00000
80211,2023,2,28,0.00000
80211,2023,3,1,0.00000
80211,2023,3,2,0.00000
80211,2023,3,3,0.00001
80211,2023,3,4,0.00001
80211,2023,3,5,0.00000
80211,2023,3,6,0.00000
80211,2023,3,7,0.00000
80211,2023,3,8,0.00000
80211,2023,3,9,0.00000
80211,2023,3,10,0.00001
80211,2023,3,11,0.00000
80211,2023,3,12,0.41000
80211,2023,3,13,0.76000
80211,2023,3,14,0.00000
80211,2023,3,15,0.00000
80211,2023,3,16,0.00000
80211,2023,3,17,0.00001
80211,2023,3,18,0.21000
80211,2023,3,19,0.00000
80211,2023,3,20,0.00000
80211,2023,3,21,0.00000
80211,2023,3,22,0.00000
80211,2023,3,23,0.00000
80211,2023,3,24,0.00000
80211,2023,3,25,0.00000
80211,2023,3,26,0.00000
80211,2023,3,27,0.00000
80211,2023,3,28,0.17000
80211,2023,3,29,0.00000
80211,2023,3,30,0.00000
80211,2023,3,31,0.00000
80211,2023,4,1,0.00000
80211,2023,4,2,0.00000
80211,2023,4,3,0.00000
80211,2023,4,4,0.00000
80211,2023,4,5,0.00000
80211,2023,4,6,0.00000
80211,2023,4,7,0.00000
80211,2023,4,8,2.13000
80211,2023,4,9,0.02000
80211,2023,4,10,0.71000
80211,2023,4,11,0.08000
80211,2023,4,12,0.11000
80211,2023,4,13,0.05000
80211,2023,4,14,0.00000
80211,2023,4,15,0.79000
80211,2023,4,16,0.00000
80211,2023,4,17,0.00000
80211,2023,4,18,0.00000
80211,2023,4,19,0.00000
