COOPID, YEAR, MONTH, DAY, precipitation
80228,2021,1,1,0.00000
80228,2021,1,2,0.00000
80228,2021,1,3,0.00000
80228,2021,1,4,0.14000
80228,2021,1,5,0.00000
80228,2021,1,6,0.00000
80228,2021,1,7,0.00000
80228,2021,1,8,0.12000
80228,2021,1,9,0.00000
80228,2021,1,10,0.00000
80228,2021,1,11,0.00000
80228,2021,1,12,0.01000
80228,2021,1,13,0.00000
80228,2021,1,14,0.05000
80228,2021,1,15,0.00000
80228,2021,1,16,0.06000
80228,2021,1,17,0.00000
80228,2021,1,18,0.00000
80228,2021,1,19,0.00000
80228,2021,1,20,0.00000
80228,2021,1,21,0.00000
80228,2021,1,22,0.00000
80228,2021,1,23,0.01000
80228,2021,1,24,0.00000
80228,2021,1,25,0.00000
80228,2021,1,26,0.00000
80228,2021,1,27,0.00000
80228,2021,1,28,0.03000
80228,2021,1,29,0.00000
80228,2021,1,30,0.00000
80228,2021,1,31,0.00000
80228,2021,2,1,0.57000
80228,2021,2,2,0.00000
80228,2021,2,3,0.00000
80228,2021,2,4,0.00000
80228,2021,2,5,0.00000
80228,2021,2,6,0.00000
80228,2021,2,7,0.00000
80228,2021,2,8,0.39000
80228,2021,2,9,0.00000
80228,2021,2,10,0.00000
80228,2021,2,11,0.00000
80228,2021,2,12,0.02000
80228,2021,2,13,0.00000
80228,2021,2,14,0.39000
80228,2021,2,15,0.00000
80228,2021,2,16,0.10000
80228,2021,2,17,0.11000
80228,2021,2,18,0.00000
80228,2021,2,19,0.00000
80228,2021,2,20,0.14000
80228,2021,2,21,0.00000
80228,2021,2,22,0.00000
80228,2021,2,23,0.03000
80228,2021,2,24,0.00000
80228,2021,2,25,0.00000
80228,2021,2,26,0.00000
80228,2021,2,27,0.00000
80228,2021,2,28,0.00000
80228,2021,3,1,0.00000
80228,2021,3,2,0.00000
80228,2021,3,3,0.00000
80228,2021,3,4,0.19000
80228,2021,3,5,0.00000
80228,2021,3,6,0.00000
80228,2021,3,7,0.25000
80228,2021,3,8,0.00000
80228,2021,3,9,0.00000
80228,2021,3,10,0.00000
80228,2021,3,11,0.00000
80228,2021,3,12,0.00000
80228,2021,3,13,0.00000
80228,2021,3,14,0.00000
80228,2021,3,15,0.00000
80228,2021,3,16,0.00000
80228,2021,3,17,0.00000
80228,2021,3,18,0.00000
80228,2021,3,19,0.09000
80228,2021,3,20,0.00000
80228,2021,3,21,0.00000
80228,2021,3,22,0.00000
80228,2021,3,23,0.00000
80228,2021,3,24,0.00000
80228,2021,3,25,0.00000
80228,2021,3,26,0.00000
80228,2021,3,27,0.00000
80228,2021,3,28,0.00000
80228,2021,3,29,0.00000
80228,2021,3,30,0.00000
