COOPID, YEAR, MONTH, DAY, precipitation
80369,2022,1,1,0.00000
80369,2022,1,2,0.00000
80369,2022,1,3,0.03000
80369,2022,1,4,0.01000
80369,2022,1,5,0.00000
80369,2022,1,6,0.00000
80369,2022,1,7,0.00000
80369,2022,1,8,0.00000
80369,2022,1,9,0.00000
80369,2022,1,10,0.00000
80369,2022,1,11,0.00000
80369,2022,1,12,0.00000
80369,2022,1,13,0.00000
80369,2022,1,14,0.00000
80369,2022,1,15,0.00000
80369,2022,1,16,0.00000
80369,2022,1,17,0.00000
80369,2022,1,18,1.45000
80369,2022,1,19,0.00000
80369,2022,1,20,0.00000
80369,2022,1,21,0.00000
80369,2022,1,22,0.00000
80369,2022,1,23,0.00000
80369,2022,1,24,0.00000
80369,2022,1,25,0.28000
80369,2022,1,26,0.00000
80369,2022,1,27,0.00000
80369,2022,1,28,0.00000
80369,2022,1,29,0.00000
80369,2022,1,30,0.00000
80369,2022,1,31,0.00000
80369,2022,2,1,0.00000
80369,2022,2,2,0.00000
80369,2022,2,3,0.00000
80369,2022,2,4,0.00000
80369,2022,2,5,0.00000
80369,2022,2,6,0.02000
80369,2022,2,7,0.14000
80369,2022,2,8,0.00000
80369,2022,2,9,0.66000
80369,2022,2,10,0.00000
80369,2022,2,11,0.00000
80369,2022,2,12,0.00000
80369,2022,2,13,0.00000
80369,2022,2,14,0.02000
80369,2022,2,15,0.00000
80369,2022,2,16,0.00000
80369,2022,2,17,0.00000
80369,2022,2,18,0.00000
80369,2022,2,19,0.00000
80369,2022,2,20,0.00000
80369,2022,2,21,0.00000
80369,2022,2,22,0.00000
80369,2022,2,23,0.00000
80369,2022,2,24,0.00000
80369,2022,2,25,0.00000
80369,2022,2,26,0.00000
80369,2022,2,27,0.00000
80369,2022,2,28,0.00000
80369,2022,3,1,0.00000
80369,2022,3,2,0.00000
80369,2022,3,3,0.00000
80369,2022,3,4,0.00000
80369,2022,3,5,0.00000
80369,2022,3,6,0.00000
80369,2022,3,7,0.00000
80369,2022,3,8,0.22000
80369,2022,3,9,0.00000
80369,2022,3,10,0.00000
80369,2022,3,11,0.00000
80369,2022,3,12,0.00000
80369,2022,3,13,0.00000
80369,2022,3,14,0.43000
80369,2022,3,15,0.00000
80369,2022,3,16,0.74000
80369,2022,3,17,0.00000
80369,2022,3,18,0.00000
80369,2022,3,19,0.00000
