COOPID, YEAR, MONTH, DAY, precipitation
80611,2005,1,1,-99.99000
80611,2005,1,2,-99.99000
80611,2005,1,3,-99.99000
80611,2005,1,4,-99.99000
80611,2005,1,5,-99.99000
80611,2005,1,6,-99.99000
80611,2005,1,7,-99.99000
80611,2005,1,8,-99.99000
80611,2005,1,9,-99.99000
80611,2005,1,10,-99.99000
80611,2005,1,11,-99.99000
80611,2005,1,12,-99.99000
80611,2005,1,13,-99.99000
80611,2005,1,14,-99.99000
80611,2005,1,15,-99.99000
80611,2005,1,16,-99.99000
80611,2005,1,17,-99.99000
80611,2005,1,18,-99.99000
80611,2005,1,19,-99.99000
80611,2005,1,20,-99.99000
80611,2005,1,21,-99.99000
80611,2005,1,22,-99.99000
80611,2005,1,23,-99.99000
80611,2005,1,24,-99.99000
80611,2005,1,25,-99.99000
80611,2005,1,26,-99.99000
80611,2005,1,27,-99.99000
80611,2005,1,28,-99.99000
80611,2005,1,29,-99.99000
80611,2005,1,30,-99.99000
80611,2005,1,31,-99.99000
80611,2005,2,1,-99.99000
80611,2005,2,2,-99.99000
80611,2005,2,3,-99.99000
80611,2005,2,4,-99.99000
80611,2005,2,5,-99.99000
80611,2005,2,6,-99.99000
80611,2005,2,7,-99.99000
80611,2005,2,8,-99.99000
80611,2005,2,9,-99.99000
80611,2005,2,10,-99.99000
80611,2005,2,11,-99.99000
80611,2005,2,12,-99.99000
80611,2005,2,13,-99.99000
80611,2005,2,14,-99.99000
80611,2005,2,15,-99.99000
80611,2005,2,16,-99.99000
80611,2005,2,17,-99.99000
80611,2005,2,18,-99.99000
80611,2005,2,19,-99.99000
80611,2005,2,20,-99.99000
80611,2005,2,21,-99.99000
80611,2005,2,22,-99.99000
80611,2005,2,23,-99.99000
80611,2005,2,24,-99.99000
80611,2005,2,25,-99.99000
80611,2005,2,26,-99.99000
80611,2005,2,27,-99.99000
80611,2005,2,28,-99.99000
80611,2005,2,29,-99.99000
80611,2005,3,1,-99.99000
80611,2005,3,2,-99.99000
80611,2005,3,3,-99.99000
80611,2005,3,4,-99.99000
80611,2005,3,5,-99.99000
80611,2005,3,6,-99.99000
80611,2005,3,7,-99.99000
80611,2005,3,8,-99.99000
80611,2005,3,9,-99.99000
80611,2005,3,10,-99.99000
80611,2005,3,11,-99.99000
80611,2005,3,12,-99.99000
